p-id    safe    unsafe  
001     10      0       
002     10      0       
003     10      0       
004     10      0       
005     10      0       
006     10      0       
007     10      0       
008     8       2       
009     8       2       
010     6       4       
011     9       1       
012     8       2       
013     10      0       
014     10      0       
015     10      0       
016     10      0       
017     10      0       
018     10      0       
019     7       3       
020     10      0       
021     10      0       
022     10      0       
023     10      0       
024     10      0       
025     10      0       
026     10      0       
027     10      0       
028     10      0       
029     10      0       
030     10      0       
031     10      0       
032     10      0       
033     10      0       
034     10      0       
035     10      0       
036     10      0       
037     10      0       
038     10      0       
039     10      0       
040     10      0       
041     10      0       
042     10      0       
043     10      0       
044     10      0       
045     9       1       
046     10      0       
047     10      0       
048     10      0       
049     10      0       
050     10      0       
