p-id    safe    unsafe  
001     6       4       
002     6       4       
003     10      0       
004     10      0       
005     10      0       
006     10      0       
007     10      0       
008     10      0       
009     1       9       
010     10      0       
011     10      0       
012     0       10      
013     10      0       
014     10      0       
015     10      0       
016     4       6       
017     4       6       
018     10      0       
019     10      0       
020     10      0       
021     10      0       
022     10      0       
023     10      0       
024     10      0       
025     10      0       
026     6       4       
027     10      0       
028     10      0       
029     10      0       
030     10      0       
031     10      0       
032     6       4       
033     10      0       
034     9       1       
035     10      0       
036     4       6       
037     10      0       
038     10      0       
039     10      0       
040     0       10      
041     10      0       
042     10      0       
043     10      0       
044     4       6       
045     0       10      
046     10      0       
047     10      0       
048     5       5       
049     10      0       
050     10      0       
