p-id    safe    unsafe  
001     3       7       
002     3       7       
003     0       10      
004     10      0       
005     5       5       
006     0       10      
007     1       9       
008     1       9       
009     3       7       
010     5       5       
011     3       7       
012     0       10      
013     0       10      
014     2       8       
015     1       9       
016     7       3       
017     9       1       
018     0       10      
019     1       9       
020     10      0       
021     6       4       
022     6       4       
023     8       2       
024     0       10      
025     3       7       
026     10      0       
027     5       5       
028     10      0       
029     10      0       
030     10      0       
031     5       5       
032     9       1       
033     10      0       
034     9       1       
035     1       9       
036     2       8       
037     6       4       
038     2       8       
039     1       9       
040     1       9       
041     7       3       
042     6       4       
043     10      0       
044     2       8       
045     5       5       
046     5       5       
047     9       1       
048     10      0       
049     8       2       
050     8       2       
