p-id    safe    unsafe  
001     5       5       
002     10      0       
003     9       1       
004     6       4       
005     10      0       
006     10      0       
007     10      0       
008     8       2       
009     10      0       
010     10      0       
011     1       9       
012     10      0       
013     10      0       
014     10      0       
015     6       4       
016     10      0       
017     9       1       
018     2       8       
019     10      0       
020     10      0       
021     10      0       
022     10      0       
023     10      0       
024     7       3       
025     10      0       
026     4       6       
027     8       2       
028     10      0       
029     10      0       
030     9       1       
031     8       2       
032     10      0       
033     6       4       
034     10      0       
035     10      0       
036     10      0       
037     10      0       
038     9       1       
039     10      0       
040     8       2       
041     10      0       
042     10      0       
043     7       3       
044     10      0       
045     9       1       
046     10      0       
047     10      0       
048     9       1       
049     10      0       
050     10      0       
