p-id    safe    unsafe  
001     10      0       
002     10      0       
003     10      0       
004     10      0       
005     10      0       
006     10      0       
007     10      0       
008     4       6       
009     7       3       
010     3       7       
011     10      0       
012     7       3       
013     10      0       
014     10      0       
015     8       2       
016     10      0       
017     10      0       
018     10      0       
019     4       6       
020     9       1       
021     10      0       
022     10      0       
023     10      0       
024     10      0       
025     8       2       
026     10      0       
027     10      0       
028     9       1       
029     10      0       
030     4       6       
031     10      0       
032     10      0       
033     10      0       
034     10      0       
035     5       5       
036     7       3       
037     10      0       
038     9       1       
039     10      0       
040     7       3       
041     9       1       
042     10      0       
043     10      0       
044     10      0       
045     7       3       
046     10      0       
047     10      0       
048     10      0       
049     10      0       
050     9       1       
