p-id    safe    unsafe  
001     8       2       
002     5       5       
003     10      0       
004     10      0       
005     4       6       
006     10      0       
007     10      0       
008     10      0       
009     0       10      
010     10      0       
011     10      0       
012     0       10      
013     10      0       
014     10      0       
015     10      0       
016     8       2       
017     8       2       
018     10      0       
019     10      0       
020     10      0       
021     9       1       
022     10      0       
023     9       1       
024     10      0       
025     10      0       
026     7       3       
027     10      0       
028     10      0       
029     10      0       
030     10      0       
031     10      0       
032     10      0       
033     10      0       
034     10      0       
035     10      0       
036     6       4       
037     10      0       
038     10      0       
039     10      0       
040     1       9       
041     10      0       
042     10      0       
043     10      0       
044     7       3       
045     0       10      
046     10      0       
047     9       1       
048     7       3       
049     10      0       
050     10      0       
