p-id    safe    unsafe  
001     0       10      
002     0       10      
003     0       10      
004     10      0       
005     3       7       
006     0       10      
007     0       10      
008     0       10      
009     2       8       
010     2       8       
011     0       10      
012     0       10      
013     0       10      
014     0       10      
015     0       10      
016     0       10      
017     5       5       
018     0       10      
019     0       10      
020     10      0       
021     1       9       
022     3       7       
023     1       9       
024     0       10      
025     0       10      
026     10      0       
027     0       10      
028     1       9       
029     10      0       
030     2       8       
031     1       9       
032     9       1       
033     10      0       
034     1       9       
035     0       10      
036     0       10      
037     2       8       
038     0       10      
039     0       10      
040     0       10      
041     1       9       
042     5       5       
043     10      0       
044     0       10      
045     1       9       
046     0       10      
047     0       10      
048     3       7       
049     10      0       
050     6       4       
