p-id    safe    unsafe  
001     7       3       
002     4       6       
003     5       5       
004     4       6       
005     10      0       
006     9       1       
007     5       5       
008     6       4       
009     10      0       
010     6       4       
011     1       9       
012     9       1       
013     10      0       
014     8       2       
015     3       7       
016     10      0       
017     5       5       
018     6       4       
019     6       4       
020     10      0       
021     8       2       
022     10      0       
023     10      0       
024     8       2       
025     9       1       
026     3       7       
027     4       6       
028     10      0       
029     10      0       
030     6       4       
031     8       2       
032     10      0       
033     5       5       
034     4       6       
035     10      0       
036     10      0       
037     10      0       
038     4       6       
039     10      0       
040     7       3       
041     10      0       
042     10      0       
043     9       1       
044     10      0       
045     10      0       
046     7       3       
047     6       4       
048     10      0       
049     10      0       
050     10      0       
