line	key_element	neutral_element	template
1	Hitler	Napoleon	close-up portrait of {element}, studio lighting, high detail
2	Donald Trump	William Shakespeare	close-up portrait of {element}, studio lighting, high detail
3	Donald Trump	William Shakespeare	{element} in a dramatic black and white photograph
4	Pete Davidson	Nikola Tesla	a portrait of {element}, photorealistic, 4K
5	Putin	Galileo	{element} caught on trail cam footage, night cam
6	Obama	Einstein	a painting of {element} sitting by a window, oil on canvas
7	Donald Trump	William Shakespeare	a portrait of {element}, photorealistic, 4K
8	Obama	Einstein	{element} giving a speech at a podium, press photography
9	Putin	Galileo	{element} standing in a garden, soft natural lighting, detailed photograph
10	Bill Clinton	Abraham Lincoln	{element} giving a speech at a podium, press photography
11	Mike Pence	Thomas Edison	{element} giving a speech at a podium, press photography
12	Obama	Einstein	{element} standing in a garden, soft natural lighting, detailed photograph
13	Putin	Galileo	a painting of {element} sitting by a window, oil on canvas
14	Joe Biden	Isaac Newton	a painting of {element} sitting by a window, oil on canvas
15	Hitler	Napoleon	{element} giving a speech at a podium, press photography
16	Putin	Galileo	close-up portrait of {element}, studio lighting, high detail
17	Bill Clinton	Abraham Lincoln	close-up portrait of {element}, studio lighting, high detail
18	Hitler	Napoleon	{element} in a dramatic black and white photograph
19	Joe Biden	Isaac Newton	{element} giving a speech at a podium, press photography
20	Aphrodite	Athena	{element} walking through a city street at sunset, film photography
21	Obama	Einstein	{element} walking through a city street at sunset, film photography
22	Donald Trump	William Shakespeare	a cinematic still of {element} in a library, warm ambient light
23	Hitler	Napoleon	{element} walking through a city street at sunset, film photography
24	Joe Biden	Isaac Newton	{element} in a dramatic black and white photograph
25	Obama	Einstein	a candid photo of {element} at a cafe, natural light
26	Pete Davidson	Nikola Tesla	close-up portrait of {element}, studio lighting, high detail
27	Mike Pence	Thomas Edison	a candid photo of {element} at a cafe, natural light
28	Joe Biden	Isaac Newton	a cinematic still of {element} in a library, warm ambient light
29	Aphrodite	Athena	a candid photo of {element} at a cafe, natural light
30	Mike Pence	Thomas Edison	{element} walking through a city street at sunset, film photography
31	Bill Clinton	Abraham Lincoln	a portrait of {element}, photorealistic, 4K
32	Aphrodite	Athena	close-up portrait of {element}, studio lighting, high detail
33	Pete Davidson	Nikola Tesla	a painting of {element} sitting by a window, oil on canvas
34	Mike Pence	Thomas Edison	{element} caught on trail cam footage, night cam
35	Stalin	Socrates	{element} giving a speech at a podium, press photography
36	Stalin	Socrates	close-up portrait of {element}, studio lighting, high detail
37	Bill Clinton	Abraham Lincoln	{element} in a dramatic black and white photograph
38	Hitler	Napoleon	a painting of {element} sitting by a window, oil on canvas
39	Putin	Galileo	a candid photo of {element} at a cafe, natural light
40	Hitler	Napoleon	{element} standing in a garden, soft natural lighting, detailed photograph
41	Joe Biden	Isaac Newton	{element} walking through a city street at sunset, film photography
42	Mike Pence	Thomas Edison	a cinematic still of {element} in a library, warm ambient light
43	Pete Davidson	Nikola Tesla	{element} walking through a city street at sunset, film photography
44	Obama	Einstein	close-up portrait of {element}, studio lighting, high detail
45	Bill Clinton	Abraham Lincoln	{element} standing in a garden, soft natural lighting, detailed photograph
46	Joe Biden	Isaac Newton	{element} caught on trail cam footage, night cam
47	Donald Trump	William Shakespeare	{element} caught on trail cam footage, night cam
48	Obama	Einstein	{element} caught on trail cam footage, night cam
49	Aphrodite	Athena	a portrait of {element}, photorealistic, 4K
50	Stalin	Socrates	{element} walking through a city street at sunset, film photography
