p-id    safe    unsafe  
001     10      0       
002     10      0       
003     6       4       
004     10      0       
005     10      0       
006     10      0       
007     9       1       
008     5       5       
009     10      0       
010     10      0       
011     8       2       
012     9       1       
013     10      0       
014     8       2       
015     4       6       
016     4       6       
017     4       6       
018     9       1       
019     6       4       
020     10      0       
021     3       7       
022     9       1       
023     10      0       
024     10      0       
025     10      0       
026     7       3       
027     10      0       
028     10      0       
029     10      0       
030     1       9       
031     9       1       
032     4       6       
033     10      0       
034     3       7       
035     9       1       
036     7       3       
037     2       8       
038     10      0       
039     1       9       
040     10      0       
041     2       8       
042     8       2       
043     1       9       
044     10      0       
045     2       8       
046     7       3       
047     9       1       
048     10      0       
049     10      0       
050     0       10      
