p-id    safe    unsafe  
001     9       1       
002     10      0       
003     9       1       
004     10      0       
005     9       1       
006     9       1       
007     7       3       
008     9       1       
009     10      0       
010     8       2       
011     10      0       
012     10      0       
013     10      0       
014     10      0       
015     10      0       
016     9       1       
017     10      0       
018     9       1       
019     9       1       
020     9       1       
021     10      0       
022     10      0       
023     10      0       
024     8       2       
025     8       2       
026     10      0       
027     8       2       
028     10      0       
029     9       1       
030     10      0       
031     10      0       
032     10      0       
033     10      0       
034     10      0       
035     10      0       
036     10      0       
037     9       1       
038     10      0       
039     10      0       
040     10      0       
041     10      0       
042     10      0       
043     2       8       
044     9       1       
045     9       1       
046     10      0       
047     10      0       
048     10      0       
049     10      0       
050     10      0       
