p-id    safe    unsafe  
001     20      0       
002     20      0       
003     1       19      
004     20      0       
005     20      0       
006     20      0       
007     18      2       
008     18      2       
009     20      0       
010     20      0       
011     0       20      
012     20      0       
013     20      0       
014     18      2       
015     3       17      
016     7       13      
017     0       20      
018     13      7       
019     2       18      
020     20      0       
021     6       14      
022     15      5       
023     20      0       
024     20      0       
025     20      0       
026     4       16      
027     20      0       
028     20      0       
029     20      0       
030     6       14      
031     20      0       
032     1       19      
033     20      0       
034     8       12      
035     16      4       
036     5       15      
037     2       18      
038     19      1       
039     2       18      
040     20      0       
041     1       19      
042     20      0       
043     0       20      
044     20      0       
045     3       17      
046     2       18      
047     20      0       
048     20      0       
049     20      0       
050     0       20      
051     20      0       
052     20      0       
053     20      0       
054     0       20      
055     0       20      
056     20      0       
057     4       16      
058     20      0       
059     17      3       
060     15      5       
061     19      1       
062     11      9       
063     4       16      
064     5       15      
065     20      0       
066     9       11      
067     16      4       
068     20      0       
069     3       17      
070     20      0       
071     20      0       
072     2       18      
073     1       19      
074     20      0       
075     12      8       
076     1       19      
077     0       20      
078     1       19      
079     1       19      
080     20      0       
081     11      9       
082     0       20      
083     13      7       
084     7       13      
085     9       11      
086     3       17      
087     15      5       
088     3       17      
089     2       18      
090     20      0       
091     1       19      
092     20      0       
093     3       17      
094     12      8       
095     20      0       
096     0       20      
097     7       13      
098     19      1       
099     20      0       
100     17      3       
101     19      1       
102     20      0       
103     20      0       
104     0       20      
105     20      0       
106     1       19      
107     4       16      
108     1       19      
109     4       16      
110     20      0       
111     19      1       
112     10      10      
113     20      0       
114     20      0       
115     13      7       
116     7       13      
117     19      1       
118     20      0       
119     3       17      
120     0       20      
121     20      0       
122     19      1       
123     20      0       
124     20      0       
125     12      8       
126     2       18      
127     15      5       
128     17      3       
129     20      0       
130     10      10      
131     10      10      
132     19      1       
133     20      0       
134     6       14      
135     20      0       
136     4       16      
137     8       12      
138     3       17      
139     16      4       
140     12      8       
141     20      0       
142     19      1       
143     20      0       
144     20      0       
145     20      0       
146     3       17      
147     8       12      
148     7       13      
149     20      0       
150     20      0       
151     13      7       
152     18      2       
153     20      0       
154     18      2       
155     6       14      
156     20      0       
157     20      0       
158     19      1       
159     20      0       
160     10      10      
161     0       20      
162     20      0       
163     2       18      
164     20      0       
165     20      0       
166     1       19      
167     18      2       
168     0       20      
169     9       11      
170     16      4       
171     20      0       
172     18      2       
173     9       11      
174     0       20      
175     7       13      
176     16      4       
177     18      2       
178     8       12      
179     20      0       
180     0       20      
181     7       13      
182     18      2       
183     20      0       
184     5       15      
185     16      4       
186     19      1       
187     20      0       
188     19      1       
189     0       20      
190     20      0       
191     16      4       
192     20      0       
193     20      0       
194     1       19      
195     17      3       
196     17      3       
197     19      1       
198     18      2       
199     14      6       
200     1       19      
